1	2	PROMOTES	0.0013741003220073052
1	3	PROMOTES	0.00031462774536016193
2	1	PROMOTES	0.0024042833958648974
2	3	PROMOTES	0.0008289950779322276
3	1	PROMOTES	8.932816773368459e-05
3	2	PROMOTES	0.00016758705735103123
1	2	INHIBITS	0.001064818346640095
1	3	INHIBITS	0.00019399931989028119
2	1	INHIBITS	0.0015912840142846107
2	3	INHIBITS	0.0015135468158405272
3	1	INHIBITS	6.021082299412228e-05
3	2	INHIBITS	0.00010469214030308648
1	2	DOES_NOT_PROMOTE	0.0035331566921538776
1	3	DOES_NOT_PROMOTE	0.00011636933211573504
2	1	DOES_NOT_PROMOTE	0.00115467785184996
2	3	DOES_NOT_PROMOTE	0.0001147846166228798
3	1	DOES_NOT_PROMOTE	0.00016881252263879613
3	2	DOES_NOT_PROMOTE	0.0006696826312690973
1	2	DOES_NOT_INHIBT	0.0018951385747641325
1	3	DOES_NOT_INHIBT	9.948154547601007e-05
2	1	DOES_NOT_INHIBT	0.001705461216624826
2	3	DOES_NOT_INHIBT	0.0001782090013875859
3	1	DOES_NOT_INHIBT	0.0002464268181938678
3	2	DOES_NOT_INHIBT	0.000316145271062851
